pair_id,variant,actual_person,candidate_person,is_correct,subject,prefix_text,target_form,candidate_form,candidate_text,candidate_type,candidate_n_tokens,candidate_tokens,candidate_token_ids,verb_start,verb_end,candidate_token_positions,candidate_read_positions,sentence_tokens,sentence_token_ids,layer,sequence_log_prob_sum,sequence_log_prob_mean,sequence_logit_sum,sequence_logit_mean,token_log_probs,token_logits,token_vocab_ranks,first_token_id,first_token,first_token_vocab_rank,candidate_rank_sum,candidate_rank_mean,condition
pilot_gitmek_simdiki_1s,overt,1s,1s,True,Ben,Ben her gün okula ,gidiyorum,gidiyorum,Ben her gün okula gidiyorum,A_merged,1,gidiyorum,23301,4,4,4,3,Ben |  her |  gün |  okula |  gidiyorum,2524 | 556 | 543 | 9735 | 23301,0,-562.1678466796875,-562.1678466796875,4.819803714752197,4.819803714752197,-562.167847,4.819804,174,23301,gidiyorum,174,2,4,original_overt_vs_ambiguous
pilot_gitmek_simdiki_1s,overt,1s,1s,True,Ben,Ben her gün okula ,gidiyorum,gidiyorum,Ben her gün okula gidiyorum,A_merged,1,gidiyorum,23301,4,4,4,3,Ben |  her |  gün |  okula |  gidiyorum,2524 | 556 | 543 | 9735 | 23301,1,-310.9617919921875,-310.9617919921875,3.7636845111846924,3.7636845111846924,-310.961792,3.763685,306,23301,gidiyorum,306,4,4,original_overt_vs_ambiguous
pilot_gitmek_simdiki_1s,overt,1s,1s,True,Ben,Ben her gün okula ,gidiyorum,gidiyorum,Ben her gün okula gidiyorum,A_merged,1,gidiyorum,23301,4,4,4,3,Ben |  her |  gün |  okula |  gidiyorum,2524 | 556 | 543 | 9735 | 23301,2,-31.117576599121094,-31.117576599121094,3.106419563293457,3.106419563293457,-31.117577,3.106420,317,23301,gidiyorum,317,4,4,original_overt_vs_ambiguous
pilot_gitmek_simdiki_1s,overt,1s,1s,True,Ben,Ben her gün okula ,gidiyorum,gidiyorum,Ben her gün okula gidiyorum,A_merged,1,gidiyorum,23301,4,4,4,3,Ben |  her |  gün |  okula |  gidiyorum,2524 | 556 | 543 | 9735 | 23301,3,-118.0531997680664,-118.0531997680664,4.181125164031982,4.181125164031982,-118.053200,4.181125,113,23301,gidiyorum,113,2,4,original_overt_vs_ambiguous
pilot_gitmek_simdiki_1s,overt,1s,1s,True,Ben,Ben her gün okula ,gidiyorum,gidiyorum,Ben her gün okula gidiyorum,A_merged,1,gidiyorum,23301,4,4,4,3,Ben |  her |  gün |  okula |  gidiyorum,2524 | 556 | 543 | 9735 | 23301,4,-71.05474090576172,-71.05474090576172,4.122371196746826,4.122371196746826,-71.054741,4.122371,124,23301,gidiyorum,124,2,4,original_overt_vs_ambiguous
pilot_gitmek_simdiki_1s,overt,1s,1s,True,Ben,Ben her gün okula ,gidiyorum,gidiyorum,Ben her gün okula gidiyorum,A_merged,1,gidiyorum,23301,4,4,4,3,Ben |  her |  gün |  okula |  gidiyorum,2524 | 556 | 543 | 9735 | 23301,5,-6.271461486816406,-6.271461486816406,4.524328708648682,4.524328708648682,-6.271461,4.524329,84,23301,gidiyorum,84,2,4,original_overt_vs_ambiguous
pilot_gitmek_simdiki_1s,overt,1s,1s,True,Ben,Ben her gün okula ,gidiyorum,gidiyorum,Ben her gün okula gidiyorum,A_merged,1,gidiyorum,23301,4,4,4,3,Ben |  her |  gün |  okula |  gidiyorum,2524 | 556 | 543 | 9735 | 23301,6,-5.659495830535889,-5.659495830535889,5.591069221496582,5.591069221496582,-5.659496,5.591069,42,23301,gidiyorum,42,2,4,original_overt_vs_ambiguous
pilot_gitmek_simdiki_1s,overt,1s,1s,True,Ben,Ben her gün okula ,gidiyorum,gidiyorum,Ben her gün okula gidiyorum,A_merged,1,gidiyorum,23301,4,4,4,3,Ben |  her |  gün |  okula |  gidiyorum,2524 | 556 | 543 | 9735 | 23301,7,-5.457009792327881,-5.457009792327881,6.159313678741455,6.159313678741455,-5.457010,6.159314,33,23301,gidiyorum,33,2,4,original_overt_vs_ambiguous
pilot_gitmek_simdiki_1s,overt,1s,1s,True,Ben,Ben her gün okula ,gidiyorum,gidiyorum,Ben her gün okula gidiyorum,A_merged,1,gidiyorum,23301,4,4,4,3,Ben |  her |  gün |  okula |  gidiyorum,2524 | 556 | 543 | 9735 | 23301,8,-4.225557327270508,-4.225557327270508,7.588018417358398,7.588018417358398,-4.225557,7.588018,11,23301,gidiyorum,11,1,3,original_overt_vs_ambiguous
pilot_gitmek_simdiki_1s,overt,1s,1s,True,Ben,Ben her gün okula ,gidiyorum,gidiyorum,Ben her gün okula gidiyorum,A_merged,1,gidiyorum,23301,4,4,4,3,Ben |  her |  gün |  okula |  gidiyorum,2524 | 556 | 543 | 9735 | 23301,9,-2.278667688369751,-2.278667688369751,9.915718078613281,9.915718078613281,-2.278668,9.915718,3,23301,gidiyorum,3,1,1,original_overt_vs_ambiguous
pilot_gitmek_simdiki_1s,overt,1s,1s,True,Ben,Ben her gün okula ,gidiyorum,gidiyorum,Ben her gün okula gidiyorum,A_merged,1,gidiyorum,23301,4,4,4,3,Ben |  her |  gün |  okula |  gidiyorum,2524 | 556 | 543 | 9735 | 23301,10,-2.059560537338257,-2.059560537338257,8.955581665039062,8.955581665039062,-2.059561,8.955582,2,23301,gidiyorum,2,1,1,original_overt_vs_ambiguous
pilot_gitmek_simdiki_1s,overt,1s,1s,True,Ben,Ben her gün okula ,gidiyorum,gidiyorum,Ben her gün okula gidiyorum,A_merged,1,gidiyorum,23301,4,4,4,3,Ben |  her |  gün |  okula |  gidiyorum,2524 | 556 | 543 | 9735 | 23301,11,-2.093291997909546,-2.093291997909546,9.904623985290527,9.904623985290527,-2.093292,9.904624,2,23301,gidiyorum,2,1,1,original_overt_vs_ambiguous
